matrix_column,short_id,genotype_code,province
1,TI-001,TI-ECUM-001,Manabi
2,TI-002,TI-ECUM-002,Manabi
3,TI-003,TI-ECUM-003,Manabi
4,TI-004,TI-ECUM-004,Manabi
5,TI-005,TI-ECUM-005,Manabi
6,TI-006,TI-ECUM-006,Manabi
7,TI-007,TI-ECUM-007,Manabi
8,TI-008,TI-ECUM-008,Manabi
9,TI-009,TI-ECUM-009,Manabi
10,TI-010,TI-ECUM-010,Manabi
11,TI-011,TI-ECUM-011,Manabi
12,TI-012,TI-ECUM-012,Manabi
13,TI-013,TI-ECUM-013,Manabi
14,TI-014,TI-ECUM-014,Manabi
15,TI-015,TI-ECUM-015,Manabi
16,TI-016,TI-ECUM-016,Manabi
17,TI-017,TI-ECUM-017,Manabi
18,TI-018,TI-ECUM-018,Manabi
19,TI-019,TI-ECUM-019,Manabi
20,TI-020,TI-ECUM-020,Manabi
21,TI-021,TI-ECUM-021,Manabi
22,TI-022,TI-ECUM-022,Manabi
23,TI-023,TI-ECUM-023,Manabi
24,TI-024,TI-ECUM-024,Manabi
25,TI-025,TI-ECUM-025,Manabi
26,TI-026,TI-ECUM-026,Manabi
27,TI-027,TI-ECUM-027,Manabi
28,TI-028,TI-ECUL-028,Loja
29,TI-029,TI-ECUL-029,Loja
30,TI-030,TI-ECUL-030,Loja
31,TI-031,TI-ECUL-031,Loja
32,TI-032,TI-ECUG-032,Guayas
