genotype_code,province,collection_site,longitude,latitude,elevation_masl
TI-ECUM-001,Manabi,Jipijapa,80°36'2.0,01°05'49.1,61.5
TI-ECUM-002,Manabi,Jipijapa,80°36'2.0,01°05'48.7,79.25
TI-ECUM-003,Manabi,Jipijapa,80°36'1.6,01°05'48.3,52.5
TI-ECUM-004,Manabi,Cantagallo,80°48'27.3,01°17'01.2,103.25
TI-ECUM-005,Manabi,Cantagallo,80°43'27.8,01°17'00.7,105.77
TI-ECUM-006,Manabi,El Cady,80°24'19.6,01°07'04.5,204.0
TI-ECUM-007,Manabi,Portoviejo,80°21'16.6,01°02'17.8,164.6
TI-ECUM-008,Manabi,Portoviejo,80°21'16.8,01°02'19.4,170.6
TI-ECUM-009,Manabi,Rocafuerte,80°26'43.2,01°01'57.6,85.0
TI-ECUM-010,Manabi,Rocafuerte,80°26'44.3,01°01'59.7,203.5
TI-ECUL-011,Loja,Catamayo,79°23'46.5,03°58'03.8,138.75
TI-ECUL-012,Loja,Catamayo,79°23'42.3,03°58'02.7,148.0
TI-ECUL-013,Loja,Catamayo,79°23'40.3,03°58'00.1,135.25
TI-ECUL-014,Loja,Catamayo,79°23'48.9,03°57'59.1,149.25
TI-ECUL-015,Loja,Catamayo,79°23'47.8,03°58'00.2,114.25
TI-ECUL-016,Loja,Catamayo,79°23'46.3,03°58'02.0,183.0
TI-ECUL-017,Loja,Catamayo,79°23'49.7,03°58'03.9,123.25
TI-ECUL-018,Loja,Catamayo,79°23'45.1,03°58'01.8,144.0
TI-ECUL-019,Loja,Catamayo,79°23'43.2,03°58'00.3,119.75
TI-ECUL-020,Loja,Catamayo,79°23'44.5,03°58'02.2,132.5
TI-ECUL-021,Loja,Catamayo,79°23'41.9,03°58'01.1,117.5
TI-ECUL-022,Loja,Catamayo,79°23'40.1,03°57'59.9,90.5
TI-ECUL-023,Loja,Catamayo,79°23'39.3,03°58'00.7,43.0
TI-ECUL-024,Loja,Catamayo,79°23'48.0,03°58'01.3,143.75
TI-ECUL-025,Loja,Catamayo,79°23'46.7,03°58'00.5,34.0
TI-ECUG-026,Guayas,Milagro,79°59'18.2,02°08'35.0,66.0
TI-ECUG-027,Guayas,Milagro,79°59'17.9,02°08'33.9,91.5
TI-ECUG-028,Guayas,Milagro,79°59'18.3,02°08'32.7,18.0
TI-ECUG-029,Guayas,Milagro,79°59'18.4,02°08'31.2,20.0
TI-ECUG-030,Guayas,Milagro,79°59'17.2,02°08'30.1,30.25
TI-ECUG-031,Guayas,Milagro,79°59'16.7,02°08'32.0,59.75
TI-ECUG-032,Guayas,Milagro,79°59'16.2,02°08'34.8,6.0
