,TI-001,TI-002,TI-003,TI-004,TI-005,TI-006,TI-007,TI-008,TI-009,TI-010,TI-011,TI-012,TI-013,TI-014,TI-015,TI-016,TI-017,TI-018,TI-019,TI-020,TI-021,TI-022,TI-023,TI-024,TI-025,TI-026,TI-027,TI-028,TI-029,TI-030,TI-031,TI-032
TI-001,0.0,0.2571428571428571,0.41025641025641024,0.46511627906976744,0.42857142857142855,0.4772727272727273,0.4772727272727273,0.5,0.4523809523809524,0.47368421052631576,0.4878048780487805,0.5,0.6136363636363636,0.5227272727272727,0.5,0.7878787878787878,0.5789473684210527,0.55,0.6153846153846154,0.6875,0.5,0.575,0.575,0.5135135135135135,0.5151515151515151,0.5897435897435898,0.5142857142857142,0.5121951219512195,0.6,0.6428571428571429,0.6,0.6511627906976745
TI-002,0.2571428571428571,0.0,0.4222222222222222,0.4375,0.4375,0.48,0.4489795918367347,0.4666666666666667,0.4583333333333333,0.5111111111111111,0.48936170212765956,0.46511627906976744,0.5416666666666666,0.4583333333333333,0.5365853658536586,0.7435897435897436,0.5348837209302325,0.5111111111111111,0.6,0.725,0.5652173913043478,0.5957446808510638,0.5652173913043478,0.5454545454545454,0.6190476190476191,0.5777777777777777,0.5813953488372093,0.5106382978723404,0.6458333333333334,0.7058823529411765,0.5869565217391305,0.6326530612244898
TI-003,0.41025641025641024,0.4222222222222222,0.0,0.2727272727272727,0.19047619047619047,0.25,0.20930232558139536,0.4090909090909091,0.29545454545454547,0.38095238095238093,0.2857142857142857,0.4772727272727273,0.38636363636363635,0.40425531914893614,0.475,0.75,0.43902439024390244,0.4888888888888889,0.5777777777777777,0.6666666666666666,0.4418604651162791,0.5111111111111111,0.5111111111111111,0.5227272727272727,0.5609756097560976,0.5227272727272727,0.4878048780487805,0.4222222222222222,0.5,0.574468085106383,0.5957446808510638,0.5217391304347826
TI-004,0.46511627906976744,0.4375,0.2727272727272727,0.0,0.2222222222222222,0.2391304347826087,0.2391304347826087,0.27906976744186046,0.3541666666666667,0.32558139534883723,0.34782608695652173,0.3488372093023256,0.3695652173913043,0.3541666666666667,0.5227272727272727,0.6829268292682927,0.4186046511627907,0.5306122448979592,0.5217391304347826,0.7272727272727273,0.4222222222222222,0.45652173913043476,0.48936170212765956,0.4318181818181818,0.5,0.5625,0.5652173913043478,0.40425531914893614,0.5416666666666666,0.58,0.5416666666666666,0.5306122448979592
TI-005,0.42857142857142855,0.4375,0.19047619047619047,0.2222222222222222,0.0,0.2,0.2391304347826087,0.391304347826087,0.24444444444444444,0.36363636363636365,0.2727272727272727,0.4222222222222222,0.3333333333333333,0.24444444444444444,0.4883720930232558,0.7441860465116279,0.38095238095238093,0.36363636363636365,0.5217391304347826,0.6666666666666666,0.3488372093023256,0.4222222222222222,0.4222222222222222,0.4666666666666667,0.5348837209302325,0.4666666666666667,0.46511627906976744,0.40425531914893614,0.4782608695652174,0.5510204081632653,0.6,0.46808510638297873
TI-006,0.4772727272727273,0.48,0.25,0.2391304347826087,0.2,0.0,0.13636363636363635,0.3333333333333333,0.2608695652173913,0.3409090909090909,0.20930232558139536,0.43478260869565216,0.3111111111111111,0.2608695652173913,0.5,0.75,0.4666666666666667,0.5102040816326531,0.5,0.6428571428571429,0.32558139534883723,0.36363636363636365,0.43478260869565216,0.4444444444444444,0.5116279069767442,0.4090909090909091,0.4418604651162791,0.4489795918367347,0.48936170212765956,0.56,0.58,0.5102040816326531
TI-007,0.4772727272727273,0.4489795918367347,0.20930232558139536,0.2391304347826087,0.2391304347826087,0.13636363636363635,0.0,0.3333333333333333,0.2608695652173913,0.3409090909090909,0.20930232558139536,0.43478260869565216,0.2727272727272727,0.3333333333333333,0.46511627906976744,0.75,0.5,0.5102040816326531,0.5,0.6428571428571429,0.4,0.43478260869565216,0.46808510638297873,0.4782608695652174,0.5454545454545454,0.4444444444444444,0.4772727272727273,0.4489795918367347,0.5208333333333334,0.5882352941176471,0.6078431372549019,0.54
TI-008,0.5,0.4666666666666667,0.4090909090909091,0.27906976744186046,0.391304347826087,0.3333333333333333,0.3333333333333333,0.0,0.3409090909090909,0.21621621621621623,0.37209302325581395,0.375,0.3953488372093023,0.41304347826086957,0.525,0.6285714285714286,0.32432432432432434,0.5,0.5581395348837209,0.6486486486486487,0.4146341463414634,0.4523809523809524,0.4883720930232558,0.4634146341463415,0.5,0.5681818181818182,0.5714285714285714,0.5319148936170213,0.6382978723404256,0.673469387755102,0.5116279069767442,0.5957446808510638
TI-009,0.4523809523809524,0.4583333333333333,0.29545454545454547,0.3541666666666667,0.24444444444444444,0.2608695652173913,0.2608695652173913,0.3409090909090909,0.0,0.30952380952380953,0.17073170731707318,0.4090909090909091,0.27906976744186046,0.30434782608695654,0.47619047619047616,0.7380952380952381,0.4772727272727273,0.4222222222222222,0.4772727272727273,0.625,0.4090909090909091,0.4444444444444444,0.4090909090909091,0.4888888888888889,0.5909090909090909,0.45454545454545453,0.4883720930232558,0.425531914893617,0.5,0.5416666666666666,0.62,0.5510204081632653
TI-010,0.47368421052631576,0.5111111111111111,0.38095238095238093,0.32558139534883723,0.36363636363636365,0.3409090909090909,0.3409090909090909,0.21621621621621623,0.30952380952380953,0.0,0.3,0.34210526315789475,0.36585365853658536,0.3488372093023256,0.5,0.7222222222222222,0.3783783783783784,0.5116279069767442,0.5,0.6666666666666666,0.38461538461538464,0.38461538461538464,0.5,0.4358974358974359,0.4722222222222222,0.5476190476190477,0.55,0.5111111111111111,0.5909090909090909,0.6304347826086957,0.5581395348837209,0.5454545454545454
